original_text,cleaned_text,Topic
All that ridicule him should go ahead and jab your children when the time comes...Anythin g happens in the near future for them it's on you NOT MOH...Let that sink in...Cheers!!!🙂,ridicule go ahead jab children time comes anythin g happens near future ministry of health let sink cheers slightly smiling face,1
O,,1
https:// pubmed.ncbi.nlm. nih.gov/ 34696485/,https skeptical annoyed undecided uneasy hesitant,0
https:// youtu.be/ IMmVab5y_zM,https skeptical annoyed undecided uneasy hesitant immvab,0
https:// www.facebook.com / DonaldJTrumpJr/ videos/ 253519223478604/,https skeptical annoyed undecided uneasy hesitant donaldjtrumpjr videos,0
"Government is a member of luminous society, what they concern only benefit. Vicine is one of the earning project.",government member luminous society concern benefit vicine one earning project,1
https:// www.lifesitenews .com/news/ fda-releases-doc uments-showing- over-150000-ser ious-adverse-ev ents-in-first-3 -months-of-pfiz er-jab-authoriz ation/ ?utm_source=top_ news&utm_campai gn=catholic,https skeptical annoyed undecided uneasy hesitant com news ser ation top news gn catholic,0
If u lapse everything will gone! In such stay with your own will & decision! Job can always find! Speedy recovery.,lapse everything gone stay decision job always find speedy recovery,1
Amen! Stand bold and courageous! Our faith is in the One who saves and not man made snares that give false securities.,amen stand bold courageous faith one saves man made snares give false securities,1
God bless her for her courage. I feel sad for her and angry with the policies that hurt our elderly and young.,god bless courage feel sad angry policies hurt elderly young,1
God gave USA Democratic Party 30 days to repent from 10/10/2021  Today is 5/11/2021  https:// youtu.be/ yr20e28JtGE,god gave usa democratic party days repent today https skeptical annoyed undecided uneasy hesitant,0
👏👏👏👍👍👍💪💪💪,clapping hands clapping hands clapping hands thumbs thumbs thumbs flexed biceps flexed biceps flexed biceps,1
Amen. God uphold Iris.,amen god uphold iris,1
"The Big Pharmaceutical (Big Pharma) companies claim that their mRNA Experimental Gene Therapy (EGT) products are vaccines.  However, we must consider that these so-called 'vaccine' products were not tested rigorously on animals nor were there long-term bedside trials on human volunteers.  Please examine these points concerning the mRNA 'vaccines.'  A) They do not immunise or protect you from getting infected by COVID-19.  B) There is no guarantee that the people who take the jab will not suffer negative effects to their health or even die.  C) They do not stop the spread of COVID-19.  D) You may need to take booster jabs regularly.  The Big Pharma claims that their products are vaccines and so you cannot sue them for defective products.  Can anyone blame the unvaccinated people and punish them for not risking their lives by taking such products that may shorten their lives or even kill them?",big pharmaceutical big pharmaceutical industry companies claim mrna experimental gene therapy egt products vaccines however must consider vaccine products tested rigorously animals bedside trials human volunteers please examine points concerning mrna vaccines immunise protect getting infected covid b guarantee people take jab suffer negative effects health even die c stop spread covid may need take booster jabs regularly big pharmaceutical industry claims products vaccines cannot sue defective products anyone blame unvaccinated people punish risking lives taking products may shorten lives even kill,1
"I am 72 years old and I dont want a govt that treats me like a pariah. Banning me from shopping malls and food courts/ restaurants etc will NOT solve your self created plandemic. If it had listened to the voices of the netizens who wanted the borders shut to the covid variants very earky on we wouldnt be in this shitty state. What kind of morons are running this used to be First World Country? We need a change and put an end to this one party rule and get rid of the arrogant, self centred, highly paid jackasses who are bent on destroying the good work of the pioneer generation without whom there wouldnt have been a city state that emerged from the backwaters and rose to stellar heights and proudly flew its national flag to proclaim its independence as a nation named SINGAPORE. MAJULAH SINGAPURA. Encore.",years old want government treats like pariah banning shopping malls food courts restaurants etc solve self created plandemic listened voices netizens wanted borders shut covid variants earky would shitty state kind morons running used first world country need change put end one party rule get rid arrogant self centred highly paid jackasses bent destroying good work pioneer generation without would city state emerged backwaters rose stellar heights proudly flew national flag proclaim independence nation named singapore majulah singapura encore,1
The issue is they did not use direct force to make people go for the jabs...but they have created situations which makes it very diffcult for those unvaccinated to go for their jabs...,issue use direct force make people go jabs created situations makes diffcult unvaccinated go jabs,1
Don't want to vaccine anything happen don't ask government to support fuck lan,want vaccine anything happen ask government support fuck lan,1
https:// childrenshealthd efense.org/ defender/ martin-kulldorff -jay-bhattachar ya-fauci-fooled -america/ ?itm_term=home,https skeptical annoyed undecided uneasy hesitant childrenshealthd defender america home,1
Bias against those who are UNJABBED! How pathetic we are now in .. 😞,bias unjabbed pathetic disappointed face,0
"not a matter of being fair or not, it's idiotic tyranny",matter fair idiotic tyranny,1
Prata garment. Endemic..? No jab no job? Live w the virus? What? Only 2pax can dine in? Self quarantine? What's the direction? Totally lost.,backpeddle garment endemic jab job live w virus dine self quarantine direction totally lost,1
Thank you for organising the event for all of us to express our heartfelt words on how we felt being discriminated from the society. A memorable event to remember.,thank organising event us express heartfelt words felt discriminated society memorable event remember,1
Thank goodness!,thank goodness,1
"The kebaya looks fake, not from Fashion Centre....",kebaya looks fake fashion centre,1
"It's thus too late to think this whole covid was nothing but an agenda. You can disagree with the conspiracies, but eventually you know they were right all along.",thus late think whole covid nothing agenda disagree conspiracies eventually know right along,1
https:// banned.video/ watch?id=618f059 e6eb7794b57c293 4a Watch this.,https skeptical annoyed undecided uneasy hesitant watch id watch,0
"Yes. I agreed. I think the same as what you say. But, what can we, not the anti-vaccine can do. Even until today, when the government threaten with pay your own medical bill, if infected. I still remain adamant and not having for the jab. I don't want to be the ginnie pig. Not scientific proven where many still get infected and even die. What types of government is this. If they don't let the Delta variant to be influx into Singapore. Singaporean will be safe. But now the virus is everywhere. What can we, the Singaporean do. Just let you decide our life?",yes agreed think say even today government threaten pay medical bill infected still remain adamant jab want ginnie pig scientific proven many still get infected even die types government let delta variant influx singapore singapore citizens safe virus everywhere singapore citizens let decide life,1
"✌️ SCIENCE HISTORY RESEARCH PROVEN GOD HAVE INDEED CREATED THE BEST NATURAL HEALING ENVIRONMENT, HONEY, FRUITS, BODY IMMUNE SYSTEM, ETC.....  TIME N TIDE WAIT FOR NO ONE. WISE PREVENTION IS ALWAYS BETTER THAN CURE BECAUSE A SINGLE SPARK CAN START A BIG FIRE WITHOUT WARNING  WILL THE VACCINE MAKER TAKE RESPONSIBLE IF IT CAUSE INTERMITTEN SIDE EFFECTS AFTER VACCINE JAB ?🤔  MAY PEACE 🌎N EARTH peacejam.org hrw.org amnesty.org  THANK Y😷U KIND REGARDS 🌎 👨‍👩‍👦✌️🙏 🌈",victory hand science history research proven god indeed created best natural healing environment honey fruits body immune system etc time n tide wait one wise prevention always better cure single spark start big fire without warning vaccine maker take responsible intermitten side effects vaccine jab thinking face may peace globe showing americas n earth thank face medical mask kind regards globe showing americas victory hand folded hands rainbow,1
"Kudos you! Michelle for coming out and speaking openly about this! Not everyone is as intelligent and well informed as you! I hope that your message will enlighten them! Like you, I feel that everyone should have a personal choice. I also feel that this injection( not vaccine) could be more damaging than C19 itself! The immediate side effects and the long term side effects not only on the vaccinated persons but also for the next generation if they were to give birth after the vaccination, is , daunting!!! I say it's not a vaccine because a vaccine should protect us ...like the other childhood vaccines. But in this case there's no guarantee that you will be protected even when you are vaccinated! The government should not ram this down our throats! Now, with all the question marks and unknowns surroundthis 'vaccine, a person in their right mind will not want to be injected with this!",kudos michelle coming speaking openly everyone intelligent well informed hope message enlighten like feel everyone personal choice also feel injection vaccine could damaging immediate side effects long term side effects vaccinated persons also next generation give birth vaccination daunting say vaccine vaccine protect us like childhood vaccines case guarantee protected even vaccinated government ram throats question marks unknowns surroundthis vaccine person right mind want injected,1
https:// www.livemint.com /news/world/ covid19-booster- shot-a-scandal- who-appeals-cou ntries-to-stop- it-116368604290 13.html,https skeptical annoyed undecided uneasy hesitant news world covid booster,0
Hmm..dun remb signing any idemnify form even for my 17 year old as I just drop her off at the centre & pick her up afterwhich. Most of my friends kids who are young adults went to the vaccine centre on their own without accompanying parents. Why is your so called friend's graduating kid so special?,hmm dun remember signing idemnify form even year old drop centre pick afterwhich friends kids young adults went vaccine centre without accompanying parents called graduating kid special,1
"Do people actually know that mRNA vaccine have been in research for many decades before implementation?  Just because you only heard of it past year does not mean its experimental. Many decades of extensive research before it actually roll out to the public.  If you claim to believe in sciences, read up on the scientif journals before spouting untrue facts claiming it is not backed by science.",people actually know mrna vaccine research many decades implementation heard past year mean experimental many decades extensive research actually roll public claim believe sciences read scientif journals spouting untrue facts claiming backed science,1
Healing the Divide  Pls read ST news  https://t.me/ TheStraitsTimes/ 6576,healing divide please read st news thestraitstimes,1
Do take note also about the side effects from these jabs which are similar to snake venom...dizzine ss...vomitting. ..blood clots...heart issues and also stroke...,take note also side effects jabs similar snake venom dizzine ss vomitting blood clots heart issues also stroke,1
Did u took the vac? And did the covid strx u ?,took vac covid strx,1
"Well expressed Michelle. I salute you for speaking up for those of us who wish to make informed choices instead of being coerced by a handful of snake oil selling politician quacks who are masking us with blinkers over our eyes into accepting these so called ""vaccines"" that gives no protection against this man made virus.",well expressed michelle salute speaking us wish make informed choices instead coerced handful snake oil selling politician quacks masking us blinkers eyes accepting called vaccines gives protection man made virus,1
Our children become their lab rat. Sick!  https:// tnp.straitstimes .com/news/ singapore/ kkh-recruiting-c hildre n-aged-5-11-cov id-19-vaccinati on-trial,children become lab rat sick https skeptical annoyed undecided uneasy hesitant com news singapore hildre cov id vaccinati,1
Yes,yes,1
今时今日，已经有很多世界上最有 权威的医学专家指出疫苗只能抵抗 指定的病毒，研制之时是特别针对 某种病毒量身定制的。病毒不断地 变种所以疫苗面临变体的新病毒是 完全不能发挥作用的。这是不可否 认的科学真理！  这些医学界专家还指出疫苗远远赶 不上病毒的裂变，因此疫苗是无效 的，除了会破坏人体自身的免疫力 ，还有许多化学物质的不良反应之 副作用所导致的后遗症包括血癌和 其他癌症，所以接种了疫苗不但更 糟糕，还很可能魂魄分家一命呜呼 ！  何必冒这个险，把有毒的化学药品 注射到宝贵的身体里面，要知道一 注射了就没有回头的余地！ 谨此奉劝所有尚未注射疫苗的朋友 们慎重思考，别轻举妄动为妙。  以天花来比较，因为天花没有不断 地变种，所以牛痘只需种一次就可 以一劳永逸！ 请问牛痘既然这么有效，它可以抵 抗其他的瘟疫吗？ 答案当然是不可以，因为它是特别 研制来对抗天花的。  然而，人体自身的免疫力面临所有 外来的病毒皆能辨认出来而立即发 挥其抵抗功能！ 所以提高自身免疫力才是真正的防 疫之道！ 平时注意卫生和正确与适度地养生 是非常重要的！  事到如今，我对疫情和疫苗有更深 一层的领悟，病毒是美国制造出来 的一种生化武器。甩锅嫁祸于中国 ，那些草草制造出来没有真正效力 反而对人体有害的疫苗也是源自美 国，用脑袋深深思考一番吧，这疫 苗到底有多少可信度？  仔细分析之下有两大疑点： 1 研制欠佳 2 另有阴谋  大家醒醒吧，别再相信美国的谎言 ，接种疫苗是防不了疫保不了命的 。  防疫的最佳途径就是注意卫生和勤 于养生，吸收足够的营养以强身健 体、提高自身免疫力，是最有效的 防疫保命之道！  笔者坚持不接种疫苗正是清楚了解 其中的真像。  希望世界各国的领导立即醒悟，别 再向美国采购无效又有害的疫苗不 但被割了韭菜还祸殃人民！,今时今日 已经有很多世界上最有 权威的医学专家指出疫苗只能抵抗 指定的病毒 研制之时是特别针对 某种病毒量身定制的 病毒不断地 变种所以疫苗面临变体的新病毒是 完全不能发挥作用的 这是不可否 认的科学真理 这些医学界专家还指出疫苗远远赶 不上病毒的裂变 因此疫苗是无效 的 除了会破坏人体自身的免疫力 还有许多化学物质的不良反应之 副作用所导致的后遗症包括血癌和 其他癌症 所以接种了疫苗不但更 糟糕 还很可能魂魄分家一命呜呼 何必冒这个险 把有毒的化学药品 注射到宝贵的身体里面 要知道一 注射了就没有回头的余地 谨此奉劝所有尚未注射疫苗的朋友 们慎重思考 别轻举妄动为妙 以天花来比较 因为天花没有不断 地变种 所以牛痘只需种一次就可 以一劳永逸 请问牛痘既然这么有效 它可以抵 抗其他的瘟疫吗 答案当然是不可以 因为它是特别 研制来对抗天花的 然而 人体自身的免疫力面临所有 外来的病毒皆能辨认出来而立即发 挥其抵抗功能 所以提高自身免疫力才是真正的防 疫之道 平时注意卫生和正确与适度地养生 是非常重要的 事到如今 我对疫情和疫苗有更深 一层的领悟 病毒是美国制造出来 的一种生化武器 甩锅嫁祸于中国 那些草草制造出来没有真正效力 反而对人体有害的疫苗也是源自美 国 用脑袋深深思考一番吧 这疫 苗到底有多少可信度 仔细分析之下有两大疑点 研制欠佳 另有阴谋 大家醒醒吧 别再相信美国的谎言 接种疫苗是防不了疫保不了命的 防疫的最佳途径就是注意卫生和勤 于养生 吸收足够的营养以强身健 体 提高自身免疫力 是最有效的 防疫保命之道 笔者坚持不接种疫苗正是清楚了解 其中的真像 希望世界各国的领导立即醒悟 别 再向美国采购无效又有害的疫苗不 但被割了韭菜还祸殃人民,1
Alan Long,alan long,1
https:// childrenshealthd efense.org/ defender/ kids-schools-cov id-tests-risks/,https skeptical annoyed undecided uneasy hesitant childrenshealthd defender,1
"Terence Tan The mRNA vaccine research may be on for many decades, however，it is not the one for covid-19.  The current poisooneous drug using for injection to prevent covid 19 has no proven record of safety and effectiveness yet ! ! !",terence tan mrna vaccine research may many decades however one covid current poisooneous drug using injection prevent covid proven record safety effectiveness yet,1
👆🏼他是於上星期二打了第3針加強针 ，—向來身体健康58岁的他，是 中西医，卫生局属下的副总监之一 。  科兴+ 㸯兴+輝㙐加強针,backhand index pointing skin tone 他是於上星期二打了第 向來身体健康 是 中西医 卫生局属下的副总监之一 科兴 㸯兴 輝㙐加強针,1
Well said. We should not let young kids below 15 to be guinea pigs or white nice.,well said let young kids guinea pigs white nice,1
Those poisonous drug using for injection to prevent covid 19 has no proven record of safety and effectiveness yet ! ! !  They have no rights to force anyone to compromise ! ! !,poisonous drug using injection prevent covid proven record safety effectiveness yet rights force anyone compromise,1
"Up to date the drugs used in covid 19 vaccines still don't have proven record for safety and effectiveness yet !  Absolute majority of covid 19 patients and those eventually died are vaccinated ! So, there are proven records of unsafe and not effective !",date drugs used covid vaccines still proven record safety effectiveness yet absolute majority covid patients eventually died vaccinated proven records unsafe effective,1
Listen to what a professor says,listen professor says,1
"Well spoken and clearly articulate on behalf of many who are affected but because of the presence of many IBs throwing out the usual conspiracy theorists and ""false information"" against you when it doesn't lined up with what he is told to propagate. Let's not be heavily coerced to keep on jabbing ourselves and our very young children with the experimental vaccine and used as guinea pigs. All the vaccine injury and side effects from this experimental vaccine are documented worldwide despite them denying and claiming conspiracy theorists.",well spoken clearly articulate behalf many affected presence many ibs throwing usual conspiracy theorists false information lined told propagate let us heavily coerced keep jabbing young children experimental vaccine used guinea pigs vaccine injury side effects experimental vaccine documented worldwide despite denying claiming conspiracy theorists,1
Go for sinovac ONLY. For our future generation. Say No to any vaccine with mRNA. Period.,go sinovac future generation say vaccine mrna period,1
Michelle thks for yr brave courage in voicing out the cries of those who suffered under the vaccine mandate. God bless all mankind. Everyday I pray that everything will turn out well for Singapore.,michelle thks yr brave courage voicing cries suffered vaccine mandate god bless mankind everyday pray everything turn well singapore,1
It doesn't prevent transmission Jesus... How many times must tell you ...,prevent transmission jesus many times must tell,1
"Somehow no matter what the koyok sellers push -,MRNA is experimental technology - I still prefer and trust the older - tried and trusted technology",somehow matter koyok sellers push mrna experimental technology still prefer trust older tried trusted technology,1
https:// youtu.be/ cuA9hfR3jFo,https skeptical annoyed undecided uneasy hesitant cua,0
https:// youtu.be/ QabAtYBnqro,https skeptical annoyed undecided uneasy hesitant qabatybnqro,0
"There is this Awesome, Great and Mighty Creator of all things that ensure Righteousness, Justice, Equality and the Truth will be maintained, Amen! Real gold isn't afraid of fire, right? May the Awesome, Great and Mighty Creator of all things bless you and many others to become SUPER rich and courageous knights championing Righteousness, Justice, Equality and the Truth, Amen!",awesome great mighty creator things ensure righteousness justice equality truth maintained amen real gold afraid fire right may awesome great mighty creator things bless many others become super rich courageous knights championing righteousness justice equality truth amen,1
61.24% loves this kinda of dictatorship !!! You should ask who you voted for first !!!,loves kind dictatorship ask voted first,1
I have no concerns lei. I got 2 kids. lol,concerns lei got kids lol,1
"Well said. MOH should make review and consider citizens views. Do not treat these voices you would as 'Opposition', which PAP have 50 years experience. Population is better educated and better informed. Thanks to social media.",well said ministry of health make review consider citizens views treat voices would opposition incumbent government years experience population better educated better informed thanks social media,1
http:// www.originofaids .com/articles/ early.htm,http skeptical annoyed undecided uneasy hesitant com articles,0
"If Big Pharma can narrate the origins of AIDS, a coronavirus narrative seems like child's play.",big pharmaceutical industry narrate origins aids coronavirus narrative seems like play,1
I can hear the deep concern and the fear in her voice. I can just imagine how so many parents feel about having this rammed down their throats.,hear deep concern fear voice imagine many parents feel rammed throats,1
More info for sharing https:// m.facebook.com/ story.php?story_ fbid=1022078840 1639269&id=1214 832386,info sharing https skeptical annoyed undecided uneasy hesitant story fbid id,0
Thanks Michelle for speaking out so logically. Just to share with u. My eldest brother 70 yrs old pass on 4 months ago and my mother in law 75 yrs old pass on the 2 months ago. Suspected of vaccination death. I didn't bother to pursue the case bcos I knew no doctor's will DARE to verify their death is due to the vaccine. If they do probably they will lose their job. I have big doubts of these vaccines. It doesn't works very well at all. Seems like this vaccines are causing more harm than good. Our plea is fallen into deaf ears. I don't know what this Ministry of HELL is doing?,thanks michelle speaking logically share eldest brother yrs old pass months ago mother law yrs old pass months ago suspected vaccination death bother pursue case because knew dare verify death due vaccine probably lose job big doubts vaccines works well seems like vaccines causing harm good plea fallen deaf ears know ministry hell,1
"Think most of us share your sentiments and worries too. Very well spoken and highlighted our concerns about the vaccination and younger generations.  The Govt is taking citizens as Guinea Pigs for all the mRNA jabs. One wonder is it for Economic or political reasons! It's still an unproven vaccination, thus the coerced vaccination programme is definitely not for Medical reasons.  And the divide between citizens are getting greater each day due to the Govt's propaganda and using indirect method to force us all to be vaccinated without any liability or responsibility at all.  Yes, we need to stand up for this otherwise sorry will be too late.",think us share sentiments worries well spoken highlighted concerns vaccination younger generations government taking citizens guinea pigs mrna jabs one wonder economic political reasons still unproven vaccination thus coerced vaccination programme definitely medical reasons divide citizens getting greater day due propaganda using indirect method force us vaccinated without liability responsibility yes need stand otherwise sorry late,1
"I just found out about this group because MOH is making noise over falsehoods propagated lol, so skimming through the grp posts, I find that what this grp stands for is on the reasonable side. Basically about giving people a choice.  Myself im vaccinated (pfizer), and my colleagues who were vaccinated too got infected, but the symptoms were less severe.  On the other hand, apart from the news of ppl who got vaccine injuries, a friend of mine felt pain in her lungs after the first jab, but doctors were unable find out why.  The thing is everyone reacts differently to the vaccine, and presently no one knows for sure what might or might not happen.  So, i do believe having a choice is important.  That said, I dare say we can disregard conspiracy theories. Our leaders themselves (from various sectors) are vaccinated with the same vaccine provided to us. If we're screwed, so are they.",found group ministry of health making noise falsehoods propagated lol skimming grp posts find grp stands reasonable side basically giving people choice vaccinated pfizer colleagues vaccinated got infected symptoms less severe hand apart news people got vaccine injuries friend mine felt pain lungs first jab doctors unable find thing everyone reacts differently vaccine presently one knows sure might might happen believe choice important said dare say disregard conspiracy theories leaders various sectors vaccinated vaccine provided us screwed,1
"Like speakingn in here will change anything. Nothing will change, the majority believes that the vaccines work. What do you expect a small number of unvax to do? Go protest at Hong Lin Park or the parliament house?  A few things will happen, the life of the unvax will get tougher, the life of the unvax will get easier, unvax will be wipe out by the virus faster than those Vax, Vax will be wipe out faster or we just keep going left and right till a cure come out. Don't rely on the gov to give you what you want. Unless you are aiming to be the gov, just think of how you are going to make your life better through this restrictions or look for the evidence you need to convince yourself to get the vaccine.",like speakingn change anything nothing change majority believes vaccines work expect small number unvax go protest hong lin park parliament house things happen life unvax get tougher life unvax get easier unvax wipe virus faster vax vax wipe faster keep going left right till cure come rely government give want unless aiming government think going make life better restrictions look evidence need convince get vaccine,1
"male it very simple. if you dont feel right about it, then dont do it. but be very careful and take every precaution step needed to protect yourselves and your children.!?",male simple feel right careful take every precaution step needed protect children,1
"What a waste of time. I originally thought she's gonna come out with an argument on why this vaccine shouldn't be made mandatory, instead all she talk about was her feeling. 🤦🏻‍♂️",waste time originally thought going come argument vaccine made mandatory instead talk feeling,1
"It’s time they stop tearing our country apart.  We are one, but we are many And from all the corners of Singapore we come We'll share a dream and sing with one voice ""I am, you are, we are Singaporean""",time stop tearing country apart one many corners singapore come share dream sing one voice singapore citizens,1
You can't do anything now as the 61% voted them in and now they can do what ever they want no one to oppose them implementing all kinds of rules to their whim as they like from Jan.022 all unvaccinated citizen are barred from entry to all the places workplaces as well ??????????,cannot anything voted ever want one oppose implementing kinds rules whim like jan unvaccinated citizen barred entry places workplaces well,1
Good courageous 👍,good courageous thumbs,1
"Michelle, YOU'RE 👇🏼 & BRAVE TO STAND FOR OUR HUMAN RIGHTS TO SAY NO TO SOMETHING VERY FISHY TO BE PUSHED TO EVERYONE AT ALL COST!!! THANK YOU SO MUCH FOR SPEAKING UP!!! 👍🏼👍🏼👍🏼👏🏼👏🏼👏🏼💪🏼💪🏼💪🏼🙏🏼🙏🏼🙏🏼🥰🥰🥰😘😘😘",michelle brave stand human rights say something fishy pushed everyone cost thank much speaking thumbs skin tone thumbs skin tone thumbs skin tone clapping hands skin tone clapping hands skin tone clapping hands skin tone flexed biceps skin tone flexed biceps skin tone flexed biceps skin tone folded hands skin tone folded hands skin tone folded hands skin tone smiling face hearts smiling face hearts smiling face hearts face blowing kiss face blowing kiss face blowing kiss,1
God judgement coming,god judgement coming,1
"In parliament, they clap with one hand against the arm seat.....all in agreement of whatever new laws they make conveniently because of the majority. 😂",parliament clap one hand arm seat agreement whatever new laws make conveniently majority face tears joy,1
"God bless,stay strong bcos myself i m not vaccinated,n i have seen first hand what it did to the owner who i m renting a room",god bless stay strong because vaccinated n seen first hand owner renting room,1
No proof that unvaccinated spread virus. https:// www.sirillp.com/ wp-content/ uploads/2021/11/ 21-02152-Final-R esponse-Letter- Brehm-1.pdf,proof unvaccinated spread virus https skeptical annoyed undecided uneasy hesitant uploads,1
https:// rumble.com/ vdarst-many-doct ors-from-around -the-world-issu e-dire-warning- do-not-get-the- covid-.html,https skeptical annoyed undecided uneasy hesitant covid html,0
"If someone allow them to vacx on themself! No reason they reject vacx for their kids because they believed in vaccine, isn't it!  If we quietly watch how unvaccinated person being push to the wall! Beware, you could be the next for the 3rd 4th ... never ending vacx",someone allow vacx themself reason reject vacx kids believed vaccine quietly watch unvaccinated person push wall beware could next never ending vacx,1
"Two Final Lines of Defence left Before SG Totally Fallen to the Evil NWO and Satanic Cults by this month if not December 2021.  84% of SG population had been jabbed at least once, if not twice or thrice.  It is obvious that the SG government is putting lots of pressure to pit the vaxxed against the unvaxxed by discrimination of those unvaxxed without showing real data, while old people above 60 are increasing dying, all due to underlying medical conditions but whether they are vaxxed or not, data are not provided.  The unvaxxed are single out as the culprit contributing to the record daily infected and deaths but again no real data were given or being purposely withheld.  Since majority of the population are already vaxxed, it is true to assume the entire Parliament, including the Top Echelon must already been jabbed at least 2 or more shots since 4 to 6 months ago.  Based upon my research, which I published on my FB page the last 2 weeks, that non human entities are involved in the present 6th human hidden depopulation genocide underway, deploying graphene oxide nano technology not capable beimg made by Earth humans, but by interstellar regressive races, these nano particles are programmed to take over entire human body, their mind and their souls.  Yes, I am suspecting our entire leadership had turned, are no more humans, but Zombies taking orders from the NWO and their Satanic Masters.  This is evidence in many recent laws being rushed through such as FICA which, I believed is targeted at China, in case the Chinese leadership decided to intervene to prevent their citizens working here turning into Zombies.  Plus banning the unvaxxed from Malls andxHawker Centre and lately taking away their jobs if they refused to be jabbed.  If these measures does not come from Zombies, i don't know if there is any human left in them.  America (Washington DC), UK (London) and Italy (Rome/Vatican) are controlled by Satanic cults with Ancient Secret Societies links to Freemasons and Jesuits, that controlled many Governments across the Globe under the NWO banner.  Earth human are under massive assault to be wipe out completely and replace them with Clones and Zombies that only take their command, to continue their pyramid Lordship vs Slavery system adopted by their Reptilian Masters.  I hereby appeal to all our Good Men serving in the Police and Military Force.  You are our last line of Defence against these Zombies and Clones out to destroy us completely.  Or we will all quickly become SINKAPOO!!  Take note I had also appeal to all our fellow men and women to ask their God/Gods, whatever race or culture, to come assist in our defence against Satan.  If these God/Gods are real, it's the right time to show up or they don't have to any further since none of their believers will be around for long.  This is a massive War launched by very Powerful Non Human Entities to totally wipe out Earth humans created by their only Maker, The Creator, that Earth humans can never comprehend.  They are here to take over our body, mind and Soul.  Whatever God/Gods you are, take the fastest and largest Spacecrafts you have, load them with various Gods of any skills and help us eliminate these demons from Earth.  Thank you in advance.  David Lim. 5 November 2021. 5th Article.",two final lines defence left singapore totally fallen evil nwo satanic cults month december singapore population jabbed least twice thrice obvious singapore government putting lots pressure pit vaxxed unvaxxed discrimination unvaxxed without showing real data old people increasing dying due underlying medical conditions whether vaxxed data provided unvaxxed single culprit contributing record daily infected deaths real data given purposely withheld since majority population already vaxxed true assume entire parliament including top echelon must already jabbed least shots since months ago based upon research published fb page last weeks non human entities involved present human hidden depopulation genocide underway deploying graphene oxide nano technology capable beimg made earth humans interstellar regressive races nano particles programmed take entire human body mind souls yes suspecting entire leadership turned humans zombies taking orders nwo satanic masters evidence many recent laws rushed foreign interference countermeasures act believed targeted china case chinese leadership decided intervene prevent citizens working turning zombies plus banning unvaxxed malls andxhawker centre lately taking away jobs refused jabbed measures come zombies know human left america washington dc uk london italy rome vatican controlled satanic cults ancient secret societies links freemasons jesuits controlled many governments across globe nwo banner earth human massive assault wipe completely replace clones zombies take command continue pyramid lordship vs slavery system adopted reptilian masters hereby appeal good men serving police military force last line defence zombies clones destroy us completely quickly become sinkapoo take note also appeal fellow men women ask god gods whatever race culture come assist defence satan god gods real right time show since none believers around long massive war launched powerful non human entities totally wipe earth humans created maker creator earth humans never comprehend take body mind soul whatever god gods take fastest largest spacecrafts load various gods skills help us eliminate demons earth thank advance david lim november article,1
"It was NEVER ""mandatory""...",never mandatory,1
Are Israel and Singapore in one of the biggest vaccine conspiracy in the world now? Think about it?,israel singapore one biggest vaccine conspiracy world think,1
Well said I support your thinking,well said support thinking,1
"same as Michelle, i am not an anti vaxx, i am 100% supporting her points. i just cannot expressed myself any better than you guys did. lets stay united and let our voices be heard.",michelle anti vaxx supporting points cannot expressed better guys let us stay united let voices heard,1
https:// youtu.be/ 92Qw-u80L4k,https skeptical annoyed undecided uneasy hesitant,0
Who did you vote? If you voted pap then shut up! If not then I respect you for voicing out!,vote voted incumbent government shut respect voicing,1
"Thanks for speaking your truth, Michelle, and for HTD for setting up a support group like this for those that feel coerced and cornered for practicing their rights and owning their choices. I'm quietly standing with you all by owning my truth as well.",thanks speaking truth michelle htd setting support group like feel coerced cornered practicing rights owning choices quietly standing owning truth well,1
The Pfizer's CEO have publicly said that he will not be vaccinated.,ceo publicly said vaccinated,1
Correct. I am with u. Medical.tyranny,correct,1
"The government used the method of chronically killing civilians, not their own family members! 政府利用又以慢性殺死生亡平民百 姓的手段，而不是他们自己人家庭 成员! 在今年四五月開始。那些在支持人 民行动党的人現在有在後悔了吧！ For those people's who are supporting pap are Regretting now。",government used method chronically killing civilians family members 政府利用又以慢性殺死生亡平民百 姓的手段 而不是他们自己人家庭 成员 在今年四五月開始 那些在支持人 民行动党的人現在有在後悔了吧 supporting incumbent government regretting,1
